Timestamp	 [There are adults at Girls Inc. I can depend on to help me.]	 [Adults at Girls Inc. listen to what I have to say.]	 [I feel safe at Girls Inc.]	 [At Girls Inc., I get the chance to be a leader.]	 [At Girls Inc., girls learn they can do anything boys can do.]	 [At Girls Inc., girls work together on projects and activities.]	 [At Girls Inc., I get to try new things.]	 [I am happy with how my body looks.]	 [I care about doing well in school.]	 [If something interests me, I try to learn more.]	 [Girls like me can be leaders.]	 [When I get angry or frustrated, I lose my temper.]	 [I know I can handle my problems.]	What would you like to learn during your time at Girls Inc.?	What should Girls Inc. add to programming to better serve our youth?	manual_added_liketolearn_enum	manual_added_addprogramming_enum
3/16/2026 14:19:01	Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree	Agree	Agree	Strongly Disagree	Most of the time	All of the time	Strongly Agree	Strongly Agree	Agree	swim	more food	swim	food
3/16/2026 14:32:50	Strongly Agree	Agree	Disagree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Most of the time	Most of the time	Strongly Agree	Strongly Disagree		I would like to learn how to get better at basketball MORE	learn to listen when little kids are talking and be RESPECTFUL	sports	respect
3/16/2026 14:45:01	Agree	Strongly Agree	Agree	Strongly Agree	Disagree	Agree	Strongly Agree	Strongly Agree			Strongly Agree	Agree	Strongly Agree	I like learing how to bake 	more health and beauty 	cooking	beauty
3/16/2026 15:13:07	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	All of the time	All of the time	Strongly Agree	Agree	Strongly Agree	how to bake stuff	make a cooking class	cooking	cooking
3/16/2026 15:18:30	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Agree	How to be a teacher	more programs	teaching	change
3/16/2026 15:23:31	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Agree	To crotchet	Get more big brother big sister games	crafts	unknown
3/16/2026 15:28:10	Strongly Agree	Agree	Agree	Disagree	Disagree	Strongly Agree	Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Disagree	math	math	math	math
3/16/2026 15:36:50	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Some of the time	None of the time	Strongly Agree	Agree	Strongly Agree	I would like to learn how to play basketball.	Girls Inc can add more games.	sports	sports
3/16/2026 15:47:55	Agree	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	All of the time	Most of the time	Strongly Agree	Agree	Agree	I already learn what I need to know	girls inc should by diffrent cloths that don't look good so we can make them better	nothing	crafts
3/16/2026 16:00:38	Agree	Strongly Agree	Agree	Disagree	Strongly Disagree	Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Agree	Agree	Agree	At girls inc I would like to learn to do gymnastics.	Girls Inc should add gymnastics	sports	sports
3/16/2026 16:26:36	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Disagree	Strongly Agree	How to make food to taste better	being strong	cooking	general
3/16/2026 17:14:56	Strongly Agree	Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Agree	Disagree	Most of the time	All of the time	Strongly Agree	Strongly Agree	Disagree	More stem	Games club	games	general
3/16/2026 17:21:27	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	Some of the time	Strongly Agree	Agree	Strongly Agree	I would like to do more hands on STEM activities that are interesting to the older girls.G	Girls Inc should add more clubs or add more structure to clubs so its not the same thing day to day or week to week.	stem	change
3/17/2026 15:14:19	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Agree	All of the time	All of the time	Strongly Agree	Agree	Strongly Agree	cooking	idk	cooking	nothing
3/17/2026 15:21:53	Agree	Agree	Agree	Agree	Agree	Strongly Agree	Agree	Agree	Most of the time	Some of the time	Agree	Disagree	Agree	I want to learn about team work.	girls inc should add teamwork building.	teamwork	teamwork
3/17/2026 15:34:45	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Agree	Strongly Agree	Most of the time	All of the time	Agree	Agree	Strongly Agree	different sports  and cooking	basketball club	sports,cooking	sports
3/17/2026 15:48:40	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	Most of the time	Strongly Agree	Strongly Disagree	Agree	to cook	to bering bake cooking clod	cooking	cooking
3/17/2026 15:52:06	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Disagree	Agree	Agree	All of the time	Most of the time	Agree	Agree	Agree	I want to learn how to cook.	better food	cooking	cooking
3/17/2026 16:02:07	Agree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Agree	Agree	All of the time	Most of the time	Strongly Agree	Agree	Agree	I would like to learn about nature and animals	I would recommened a  garden club to grow plants over the year	nature	gardening
3/17/2026 16:30:40	Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Disagree	Strongly Agree	I wound like to learn about nature.	They should add a math program.	nature	stem
3/17/2026 16:46:39	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Agree	Agree	All of the time	Most of the time	Strongly Agree	Agree	Agree	different religions and cutlers	more books 	social_studies	reading
3/17/2026 16:56:46	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Agree	All of the time	Most of the time	Strongly Agree	Agree	Strongly Agree	i would like to learn soccer, basketball, and things like that		sports	nothing
3/17/2026 17:04:26	Strongly Disagree	Agree	Agree	Disagree	Strongly Disagree	Disagree	Agree	Agree	All of the time	Some of the time	Agree	Strongly Agree	Agree	math	a trampoline 	math	general
3/17/2026 17:20:54	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Most of the time	Most of the time	Agree	Disagree	Strongly Agree	nothing	nothing	nothing	nothing
3/18/2026 14:38:11	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	All of the time		Strongly Agree	Strongly Agree	Strongly Agree	cooking 	more paniting	cooking	art
3/18/2026 14:43:16	Disagree	Agree	Agree	Strongly Disagree	Agree	Agree	Strongly Agree	Strongly Disagree	Most of the time	Most of the time	Strongly Agree	Disagree	Strongly Agree	to sleep or ride a horse	nap time	nature,sports	nothing
3/18/2026 14:51:30	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Strongly Agree	All of the time	All of the time	Agree	Agree	Strongly Agree	I would like to learn about chosmatology.	I don't know	beauty	nothing
3/18/2026 14:56:53	Disagree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	All of the time	Most of the time	Agree	Strongly Agree	Strongly Agree	i don't know 	i don't know	nothing	nothing
3/18/2026 15:05:59	Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Most of the time	Most of the time	Agree	Disagree	Agree	i would play to learn how to swim	idk	swim	nothing
3/18/2026 15:11:22	Agree	Strongly Agree	Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Agree	Most of the time	All of the time	Agree	Disagree	Agree	anything as long as we get more activetivs	more activites  to do	change	change
3/18/2026 15:22:30	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	All of the time	All of the time	Strongly Agree	Disagree	Strongly Agree	I would like to learn how to cook .	Puzzles .	cooking	general
3/18/2026 15:37:43	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Disagree	Strongly Agree	how to read and rit	to not have a teper	english	general