Timestamp	 [I get excited about science.]	 [I am curious to learn more about science, computers, or technology.]	 [I am good at math.]	 [I know what education or training I will need for the career I want.]	 [I know adults I can talk to who work in a career that interests me.]	 [I know about different financial aid options for college.]	 [I am good at leading others to reach a goal.]	 [Girls like me can be leaders.]	 [I do my best even when things get tough.]	 [There are adults at Girls Inc. who help me think about my future.]	What would you like to learn during your time at Girls Inc?	What should Girls Inc add to programming to better serve our youth?	manual_added_liketolearn_enum	manual_added_addprogramming_enum
3/12/2026 16:54:44	Strongly Disagree	Strongly Disagree	Strongly Agree	Disagree	Strongly Agree	Strongly Disagree	Some of the time	Some of the time	Some of the time	Agree	more options for finance plans after highschool	finance classes?	finance	finance
3/12/2026 16:56:39	Agree	Agree	Strongly Agree	Strongly Agree	Disagree	Agree	Some of the time	Some of the time	Most of the time	Disagree	Forensic related activities 	More field trips 	forensics	fieldtrip
3/12/2026 16:56:40	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Most of the time	All the time	Some of the time	Strongly Agree	Nursing stuff	Idk	nursing	nothing
3/12/2026 16:57:34	Agree	Agree	Agree	Disagree	Disagree	Agree	Most of the time	Most of the time	Most of the time	Agree	I would like to learn more about science. 	I think they should add more activity’s in the process of the program so it’s not just stem all the time. The should also add stem though Becuase it is part of the program but just like sometimes there can be like times we have like fun little activity’s.	stem	change
3/12/2026 17:00:36	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Most of the time	All the time	Most of the time	Strongly Agree	During my time at girls inc I would like to learn more about engineering and communication.	I don’t know all the opportunities but I think tutoring and language programs would be nice.	stem	languages
3/12/2026 17:01:35	Strongly Agree	Strongly Agree	Agree	Disagree	Agree	Agree	None of the time	Some of the time	Most of the time	Agree	How to use my voice and work together with other people.	I'm not sure.	teamwork	nothing
3/12/2026 17:02:47	Disagree	Disagree	Agree	Agree	Agree	Agree	Most of the time	All the time	Most of the time	Disagree	Leaning different careers than just STEM 	Doing experiments than just paper work 	change	handson
3/12/2026 17:03:34	Agree	Agree	Agree	Agree	Agree	Agree	Some of the time	All the time	Some of the time	Agree	Science experiments 	I do not know at this moment 	stem	nothing
3/12/2026 17:07:45	Disagree	Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	All the time	All the time	All the time	Strongly Agree	Finance 	More finance activities and activities about future health care leaders 	finance	finance,medical
3/12/2026 17:08:07	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	None of the time	None of the time	None of the time	Disagree	How to be confident 	More STEM focused concepts and lessons	confidence	stem
3/12/2026 17:08:18	Agree	Agree	Agree	Agree	Disagree	Strongly Agree	All the time	All the time	Most of the time	Disagree	More hands on stem	Better food and FEILD trips	stem	fieldtrip
3/12/2026 17:08:18	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Some of the time	All the time	Some of the time	Strongly Agree	Hospitals	Better food and fun field trips	medical	fieldtrip
3/12/2026 17:12:16	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Disagree	None of the time	All the time	All the time	Agree		What I think girls and should ask to the program for better service towards the youth Is a class for older kids who are having a hard time with math, science or English and Reading homework and understanding any type of topic too.	nothing	change
3/12/2026 17:12:21	Agree	Agree	Agree	Strongly Agree	Strongly Disagree	Agree	Some of the time	Some of the time	Most of the time	Disagree	Nothing much	Better food	nothing	nothing
3/12/2026 17:13:09	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	All the time	All the time	All the time	Strongly Agree	I want to learn more about careers and colleges I can get into.	More college tours 	career	career
3/12/2026 17:13:28	Agree	Disagree	Disagree	Agree	Strongly Disagree	Strongly Disagree	None of the time	Some of the time	Most of the time	Agree	Architectural things. And cool science things maybe.	I don't know.	stem	nothing
3/12/2026 17:16:22	Agree	Agree	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree	Most of the time	All the time	Most of the time	Disagree	more science n math things inclduding the body and like medical stuff and biology stuff	idk	stem	medical
3/12/2026 17:16:35	Agree	Agree	Disagree	Agree	Agree	Strongly Agree	Some of the time	Some of the time	Most of the time	Agree	Maybe more about art stuff or science 	I don’t know	art,stem	nothing
3/12/2026 17:22:54	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All the time	All the time	Most of the time	Strongly Agree	Biotechnology and health.	Workshops and field trips to expand our understanding.	medical	fieldtrip
3/12/2026 17:27:51	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All the time	All the time	All the time	Strongly Agree	Painting 	Nothing 	art	nothing
4/1/2026 15:04:31	Strongly Agree	Strongly Agree	Agree	Agree	Disagree	Agree	All the time	All the time	All the time	Disagree	Careers, stem, activities 	Networking, shadowing professional in field, standardized test prep (sat, act) 	stem,career	career
4/1/2026 15:04:51	Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	All the time	All the time	All the time	Strongly Agree	N/A	Cosmology workshops	nothing	cosmology
4/1/2026 15:08:22	Strongly Agree	Disagree	Agree	Strongly Agree	Agree	Agree	All the time	All the time	All the time	Strongly Agree		More options for careers/internship opportunities in healthcare and hospital settings. 	nothing	career,medical
4/2/2026 6:38:20	Strongly Agree	Strongly Disagree	Disagree	Agree	Agree	Agree	Most of the time	All the time	All the time	Strongly Agree			nothing	nothing